,Country,Year,id,Subtype,Post,Days,gdpc,FinStability,Freedom,PolitStability,Diff,lead_-14,lead_-13,lead_-12,lead_-11,lead_-10,lead_-9,lead_-8,lead_-7,lead_-6,lead_-5,lead_-4,lead_-3,lead_-2,lead_-1,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14
0,United States,2002,1,0,0.893150685,39,38023.16111,25.6634,78.4,0.287509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,United States,2003,1,0,1,0,39496.48588,25.6082,78.2,0.0812887,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,United States,2004,1,0,1,0,41712.80107,27.6959,78.7,-0.2313482,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,United States,2005,1,0,1,0,44114.74778,27.623,79.9,-0.0586535,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,United States,2006,1,0,1,0,46298.73144,27.7233,81.2,0.4939433,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,United States,2007,1,0,1,0,47975.9677,26.5905,81.2,0.3757299,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,United States,2008,1,0,1,0,48382.55845,22.9642,81,0.5852239,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,United States,2009,1,0,1,0,47099.98047,26.9327,80.7,0.4484303,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,United States,2010,1,0,1,0,48467.51578,28.9571,78,0.4384039,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,United States,2011,1,0,1,0,49886.81811,29.2992,77.8,0.5912473,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17,United States,2012,1,0,1,0,51610.60528,29.3846,76.3,0.6324421,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,United States,2013,1,0,1,0,53117.66785,29.5357,76,0.6430726,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,United States,2014,1,0,1,0,55064.74455,29.6984,75.5,0.5824196,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,United States,2015,1,0,1,0,56839.38177,29.9373,76.2,0.6780624,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,United States,2016,1,0,1,0,57951.58408,29.5835,75.4,0.4023029,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
